"","genus","quality_grade","identifications_most_agree","species_guess","num_identification_disagreements","identifications_count","species_count","RatioDisagree"
"5953","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"5954","Bombus","needs_id",FALSE,NA,0,0,56,NA
"5955","Bombus","needs_id",FALSE,NA,0,0,56,NA
"5956","Bombus","needs_id",FALSE,NA,0,0,56,NA
"5957","Bombus","needs_id",FALSE,NA,0,0,56,NA
"5958","Bombus","needs_id",TRUE,"Pyrobombus",0,2,56,0
"5959","Apis","casual",FALSE,NA,0,0,1,NA
"5960","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"5961","Eucerini","needs_id",TRUE,"Long-horned Bees",0,3,NA,0
"5962","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"5963","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"5964","Ceratina","needs_id",TRUE,"Zadontomerus",0,2,8,0
"5965","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"5966","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"5967","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"5968","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"5969","Bombus","research",TRUE,"Fernald's Cuckoo Bumble Bee",0,1,56,0
"5970","Bombus","needs_id",FALSE,"Pyrobombus",0,0,56,NA
"5971","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"5972","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"5973","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"5974","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"5975","Bombus","needs_id",FALSE,NA,0,0,56,NA
"5976","Bombus","needs_id",FALSE,NA,0,0,56,NA
"5977","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"5978","Bombus","needs_id",TRUE,"Perplexing Bumble Bee",0,1,56,0
"5979","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"5980","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"5981","Apis","research",TRUE,"Western Honey Bee",0,3,1,0
"5982","Apis","research",TRUE,"Western Honey Bee",0,3,1,0
"5983","Bombus","needs_id",FALSE,NA,0,0,56,NA
"5984","Bombus","needs_id",FALSE,NA,0,0,56,NA
"5985","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"5986","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"5987","Bombus","needs_id",TRUE,"Half-black Bumble Bee",0,1,56,0
"5988","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"5989","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"5990","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"5991","Bombus","research",TRUE,"Perplexing Bumble Bee",0,1,56,0
"5992","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"5993","Bombus","research",TRUE,"Northern Amber Bumble Bee",0,4,56,0
"5994","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"5995","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"5996","Bombus","research",TRUE,"Great Basin Bumble Bee",0,2,56,0
"5997","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"5998","Bombus","needs_id",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"5999","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"6000","Bombus","needs_id",TRUE,"Black-notched Bumble Bee",0,1,56,0
"6001","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"6002","Bombus","needs_id",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"6003","Bombus","needs_id",TRUE,"Black-notched Bumble Bee",0,1,56,0
"6004","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6005","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6006","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6007","Bombus","research",TRUE,"Half-black Bumble Bee",0,1,56,0
"6008","Bombus","research",TRUE,"White-shouldered Bumble Bee",0,2,56,0
"6009","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6010","Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,1,56,0
"6011","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6012","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"6013","Bombus","research",TRUE,"Perplexing Bumble Bee",0,1,56,0
"6014","Bombus","needs_id",TRUE,"Bombus",0,1,56,0
"6015","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"6016","Bombus","needs_id",FALSE,"White-tailed Bumble Bee",0,0,56,NA
"6017","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6018","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6019","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6020","Bombus","research",TRUE,"Hunt's Bumble Bee",0,1,56,0
"6021","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6022","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"6023","Bombus","needs_id",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"6024","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6025","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6026","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"6027","Bombus","research",TRUE,"Heath Bumble Bee",0,1,56,0
"6028","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6029","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6030","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6031","Bombus","casual",FALSE,"Black-tailed Bumble Bee",0,0,56,NA
"6032","Melissodes","needs_id",TRUE,"Melissodes",0,2,21,0
"6033","Bombus","needs_id",TRUE,"Perplexing Bumble Bee",0,1,56,0
"6034","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6035","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6036","Bombus","needs_id",TRUE,"Pyrobombus",0,2,56,0
"6037","Bombus","needs_id",FALSE,"Frigid Bumble Bee",0,0,56,NA
"6038","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6039","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6040","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6041","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6042","Bombus","research",TRUE,"Bombus occidentalis occidentalis",0,1,56,0
"6043","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6044","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6045","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6046","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6047","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6048","Bombus","needs_id",FALSE,"Half-black Bumble Bee",0,0,56,NA
"6049","Apidae","needs_id",FALSE,NA,0,0,NA,NA
"6050","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6051","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6052","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"6053","Bombus","needs_id",FALSE,"Fuzzy-Horned Bumble Bee",0,0,56,NA
"6054","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"6055","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6056","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6057","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6058","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6059","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6060","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6061","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6062","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6063","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6064","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6065","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6066","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6067","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6068","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6069","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"6070","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"6071","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6072","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"6073","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6074","Bombus","needs_id",FALSE,"Half-black Bumble Bee",0,0,56,NA
"6075","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6076","Bombus","needs_id",FALSE,"Bombus",0,0,56,NA
"6077","Anthophora","research",TRUE,"Bumble-bee-mimic Digger Bee",0,2,11,0
"6078","Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"6079","Bombus","research",TRUE,"Perplexing Bumble Bee",0,1,56,0
"6080","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6081","Bombus","research",TRUE,"Frigid Bumble Bee",0,2,56,0
"6082","Bombus","research",TRUE,"Frigid Bumble Bee",0,2,56,0
"6083","Bombus","research",TRUE,"Frigid Bumble Bee",0,2,56,0
"6084","Nomada","needs_id",TRUE,"Nomad Bees",0,2,33,0
"6085","Bombus","research",TRUE,"Great Basin Bumble Bee",0,2,56,0
"6086","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6087","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6088","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"6089","Bombus","needs_id",FALSE,"Bombus",0,0,56,NA
"6090","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6091","Bombus","needs_id",TRUE,"Pyrobombus",0,2,56,0
"6092","Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"6093","Bombus","research",TRUE,"Red-belted Bumble Bee",0,1,56,0
"6094","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6095","Bombus","needs_id",TRUE,"Great Basin Bumble Bee",0,2,56,0
"6096","Bombus","research",TRUE,"Tricolored Bumble Bee",0,1,56,0
"6097","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6098","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"6099","Bombus","research",TRUE,"Forest Bumble Bee",0,2,56,0
"6100","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6101","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6102","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"6103","Bombus","needs_id",TRUE,"Bombus",0,1,56,0
"6104","Bombus","needs_id",TRUE,"Bombus",0,1,56,0
"6105","Bombus","needs_id",FALSE,"Half-black Bumble Bee",0,0,56,NA
"6106","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6107","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"6108","Anthophora","research",TRUE,"Orange-tipped Wood-digger Bee",0,2,11,0
"6109","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6110","Bombus","research",TRUE,"Great Basin Bumble Bee",0,1,56,0
"6111","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6112","Bombus","needs_id",FALSE,"Black-notched Bumble Bee",0,0,56,NA
"6113","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6114","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"6115","Bombus","research",TRUE,"Fuzzy-Horned Bumble Bee",0,2,56,0
"6116","Ceratina","needs_id",TRUE,"Zadontomerus",0,2,8,0
"6117","Bombus","needs_id",TRUE,"Fuzzy-Horned Bumble Bee",0,1,56,0
"6118","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6119","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2,56,0
"6120","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"6121","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6122","Bombus","research",TRUE,"Great Basin Bumble Bee",0,2,56,0
"6123","Bombus","research",TRUE,"Fuzzy-Horned Bumble Bee",0,2,56,0
"6124","Bombus","needs_id",TRUE,"Nevada Bumble Bee",0,1,56,0
"6125","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"6126","Bombus","research",TRUE,"Perplexing Bumble Bee",0,2,56,0
"6127","Bombus","research",TRUE,"Bombus occidentalis occidentalis",0,2,56,0
"6128","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6129","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"6130","Bombus","research",TRUE,"Frigid Bumble Bee",0,2,56,0
"6131","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"6132","Bombus","needs_id",TRUE,"Bumble Bees",0,3,56,0
"6133","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"6134","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"6135","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6136","Bombus","research",TRUE,"Frigid Bumble Bee",0,2,56,0
"6137","Bombus","research",TRUE,"Hunt's Bumble Bee",0,2,56,0
"6138","Bombus","research",TRUE,"Perplexing Bumble Bee",0,1,56,0
"6139","Bombus","needs_id",FALSE,"Half-black Bumble Bee",0,0,56,NA
"6140","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"6141","Bombus","research",TRUE,"Red-belted Bumble Bee",1,4,56,0.25
"6142","Bombus","needs_id",FALSE,"Cuckoo Bumble Bees",1,2,56,0.5
"6143","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6144","Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,3,56,0
"6145","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"6146","Apis","research",TRUE,"Western Honey Bee",0,3,1,0
"6147","Epeolus","needs_id",TRUE,"Variegated Cuckoo Bees",0,1,12,0
"6148","Bombus","research",TRUE,"Bombus occidentalis occidentalis",0,3,56,0
"6149","Bombus","research",TRUE,"Fuzzy-Horned Bumble Bee",0,1,56,0
"6150","Bombus","needs_id",FALSE,"Great Basin Bumble Bee",0,0,56,NA
"6151","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"6152","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"6153","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"6154","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"6155","Bombus","research",TRUE,"Red-belted Bumble Bee",0,1,56,0
"6156","Bombus","research",TRUE,"Red-belted Bumble Bee",0,1,56,0
"6157","Bombus","research",TRUE,"Brown-belted Bumble Bee",0,1,56,0
"6158","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6159","Bombus","needs_id",TRUE,"Great Basin Bumble Bee",0,1,56,0
"6160","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"6161","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6162","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6163","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6164","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,2,56,0
"6165","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,2,56,0
"6166","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"6167","Bombus","research",TRUE,"Forest Bumble Bee",0,1,56,0
"6168","Bombus","research",TRUE,"Great Basin Bumble Bee",0,1,56,0
"6169","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6170","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6171","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"6172","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6173","Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2,56,0
"6174","Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1,56,0
"6175","Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1,56,0
"6176","Ceratina","needs_id",TRUE,"Zadontomerus",0,1,8,0
"6177","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6178","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"6179","Bombus","research",TRUE,"White-shouldered Bumble Bee",0,2,56,0
"6180","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6181","Bombus","needs_id",TRUE,"Pyrobombus",0,3,56,0
"6182","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6183","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6184","Ceratina","needs_id",TRUE,"Zadontomerus",0,2,8,0
"6185","Epeolus","needs_id",TRUE,"Variegated Cuckoo Bees",0,2,12,0
"6186","Ceratina","needs_id",TRUE,"Zadontomerus",0,1,8,0
"6187","Bombus","needs_id",TRUE,"Half-black Bumble Bee",0,1,56,0
"6188","Bombus","research",TRUE,"Brown-belted Bumble Bee",0,1,56,0
"6189","Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,2,56,0
"6190","Bombus","research",TRUE,"Frigid Bumble Bee",0,1,56,0
"6191","Bombus","research",TRUE,"Hunt's Bumble Bee",0,2,56,0
"6192","Bombus","research",TRUE,"Fuzzy-Horned Bumble Bee",0,2,56,0
"6193","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"6194","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"6195","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"6196","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"6197","Bombus","research",TRUE,"Perplexing Bumble Bee",0,2,56,0
"6198","Bombus","research",TRUE,"Frigid Bumble Bee",0,1,56,0
"6199","Bombus","needs_id",TRUE,"Pyrobombus",0,2,56,0
"6200","Bombus","research",TRUE,"Bombus flavifrons",0,1,56,0
"6201","Bombus","needs_id",TRUE,"Pyrobombus",0,3,56,0
"6202","Bombus","research",TRUE,"Half-black Bumble Bee",0,1,56,0
"6203","Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1,56,0
"6204","Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1,56,0
"6205","Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1,56,0
"6206","Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1,56,0
"6207","Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1,56,0
"6208","Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1,56,0
"6209","Bombus","research",TRUE,"Tricolored Bumble Bee",0,1,56,0
"6210","Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1,56,0
"6211","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6212","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6213","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6214","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6215","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"6216","Bombus","needs_id",TRUE,"Black-notched Bumble Bee",0,1,56,0
"6217","Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1,56,0
"6218","Bombus","research",TRUE,"Western Bumblebee",0,1,56,0
"6219","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6220","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"6221","Bombus","research",TRUE,"Great Basin Bumble Bee",0,1,56,0
"6222","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"6223","Bombus","research",TRUE,"White-shouldered Bumble Bee",0,1,56,0
"6224","Epeolus","needs_id",TRUE,"Variegated Cuckoo Bees",0,1,12,0
"6225","Bombus","research",TRUE,"Western Bumblebee",0,1,56,0
"6226","Bombus","research",TRUE,"Great Basin Bumble Bee",0,1,56,0
"6227","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"6228","Neopasites","research",TRUE,"Neopasites fulviventris",0,1,1,0
"6229","Bombus","needs_id",FALSE,"Bombus vandykei",0,0,56,NA
"6230","Bombus","research",TRUE,"Red-belted Bumble Bee",0,1,56,0
"6231","Bombus","needs_id",FALSE,"Indiscriminate Cuckoo Bumble Bee",0,0,56,NA
"6232","Bombus","research",TRUE,"Great Basin Bumble Bee",0,1,56,0
"6233","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6234","Bombus","research",TRUE,"Hunt's Bumble Bee",0,1,56,0
"6235","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"6236","Bombus","casual",TRUE,"Half-black Bumble Bee",0,1,56,0
"6237","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6238","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"6239","Bombus","research",TRUE,"Half-black Bumble Bee",0,2,56,0
"6240","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6241","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"6242","Bombus","needs_id",TRUE,"Bumble Bees",0,4,56,0
"6243","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"6244","Apis","research",TRUE,"Western Honey Bee",0,3,1,0
"6245","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"6246","Bombus","needs_id",TRUE,"Pyrobombus",0,2,56,0
"6247","Bombus","needs_id",TRUE,"Fuzzy-Horned Bumble Bee",0,1,56,0
"6248","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6249","Bombus","needs_id",TRUE,"Red-belted Bumble Bee",0,1,56,0
"6250","Bombus","needs_id",TRUE,"Red-belted Bumble Bee",0,1,56,0
"6251","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,2,56,0
"6252","Bombus","needs_id",TRUE,"Hunt's Bumble Bee",0,1,56,0
"6253","Bombus","needs_id",TRUE,"Red-belted Bumble Bee",0,1,56,0
"6254","Bombus","needs_id",TRUE,"Red-belted Bumble Bee",0,1,56,0
"6255","Bombus","needs_id",TRUE,"Red-belted Bumble Bee",0,1,56,0
"6256","Bombus","needs_id",TRUE,"California Bumble Bee",0,1,56,0
"6257","Bombus","needs_id",TRUE,"Pyrobombus",0,2,56,0
"6258","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6259","Bombus","needs_id",FALSE,"Western Bumblebee",0,0,56,NA
"6260","Bombus","needs_id",FALSE,"Great Basin Bumble Bee",0,0,56,NA
"6261","Bombus","research",TRUE,"Brown-belted Bumble Bee",0,1,56,0
"6262","Bombus","needs_id",FALSE,"Black-notched Bumble Bee",0,0,56,NA
"6263","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6264","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"6265","Bombus","research",TRUE,"Tricolored Bumble Bee",0,1,56,0
"6266","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6267","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6268","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6269","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6270","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6271","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"6272","Bombus","needs_id",TRUE,"Bumble Bees",0,4,56,0
"6273","Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1,56,0
"6274","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"6275","Bombus","research",TRUE,"Bombus cryptarum",0,1,56,0
"6276","Apis","research",TRUE,"Western Honey Bee",0,3,1,0
"6277","Bombus","needs_id",FALSE,NA,0,0,56,NA
"6278","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"6279","Bombus","needs_id",FALSE,"Fernald's Cuckoo Bumble Bee",0,0,56,NA
"6280","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"6281","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"6282","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"6283","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"6284","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6285","Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1,56,0
"6286","Bombus","needs_id",TRUE,"Tricolored Bumble Bee",0,3,56,0
"6287","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6288","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"6289","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6290","Bombus","research",TRUE,"Tricolored Bumble Bee",0,2,56,0
"6291","Bombus","needs_id",TRUE,"Black-notched Bumble Bee",0,1,56,0
"6292","Bombus","research",TRUE,"Red-belted Bumble Bee",0,1,56,0
"6293","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"6294","Bombus","research",TRUE,"Great Basin Bumble Bee",0,1,56,0
"6295","Melissodes","needs_id",FALSE,"Melissodes",0,0,21,NA
"6296","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6297","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"6298","Bombus","research",TRUE,"Hunt's Bumble Bee",0,1,56,0
"6299","Bombus","needs_id",FALSE,"Nevada Bumble Bee",0,0,56,NA
"6300","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"6301","Apis","research",TRUE,"Western Honey Bee",0,3,1,0
"6302","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6303","Bombus","needs_id",TRUE,"Pyrobombus",0,2,56,0
"6304","Bombus","research",TRUE,"Red-belted Bumble Bee",0,1,56,0
"6305","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6306","Bombus","research",TRUE,"Great Basin Bumble Bee",0,1,56,0
"6307","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6308","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"6309","Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,1,56,0
"6310","Bombus","needs_id",TRUE,"California Bumble Bee",0,1,56,0
"6311","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6312","Bombus","research",TRUE,"Hunt's Bumble Bee",0,1,56,0
"6313","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6314","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6315","Bombus","research",TRUE,"Great Basin Bumble Bee",0,1,56,0
"6316","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6317","Bombus","research",TRUE,"Tricolored Bumble Bee",0,1,56,0
"6318","Apis","research",TRUE,"Western Honey Bee",0,3,1,0
"6319","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"6320","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6321","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"6322","Apinae","needs_id",TRUE,"Apine Bees",0,2,NA,0
"6323","Bombus","needs_id",TRUE,"Pyrobombus",0,2,56,0
"6324","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"6325","Apis","casual",FALSE,"Western Honey Bee",0,0,1,NA
"6326","Bombus","research",TRUE,"Great Basin Bumble Bee",0,1,56,0
