"genus","quality_grade","identifications_most_agree","species_guess","num_identification_disagreements","identifications_count"
"Anthophorini","needs_id",FALSE,"Digger Bees",0,0
"Ceratina","needs_id",FALSE,"Small Carpenter Bees",0,0
"Apis","research",TRUE,"Western Honey Bee",0,2
"Ceratina","needs_id",FALSE,NA,0,0
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Ceratina","needs_id",FALSE,NA,0,0
"Apis","research",TRUE,"Western Honey Bee",0,2
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Xylocopa","research",TRUE,"Eastern Carpenter Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","needs_id",FALSE,NA,0,0
"Apis","research",TRUE,"Western Honey Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Apidae","needs_id",TRUE,"Honey Bees, Bumble Bees, and Allies",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Nomada","needs_id",TRUE,"Nomad Bees",0,2
"Nomada","needs_id",TRUE,"Nomad Bees",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Nomada","needs_id",TRUE,"Nomad Bees",0,2
"Bombus","needs_id",FALSE,"Brown-belted Bumble Bee",0,0
"Xylocopa","research",TRUE,"Eastern Carpenter Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","needs_id",FALSE,NA,0,0
"Ceratina","needs_id",TRUE,"Zadontomerus",0,1
"Ceratina","needs_id",FALSE,"Small Carpenter Bees",0,0
"Apis","research",TRUE,"Western Honey Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Xylocopa","research",TRUE,"Eastern Carpenter Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Ceratina","needs_id",FALSE,"Zadontomerus",0,0
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","needs_id",FALSE,NA,0,0
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,2
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,2
"Bombus","needs_id",FALSE,"Hunt's Bumble Bee",0,0
"Bombus","research",TRUE,"Two-spotted Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Half-black Bumble Bee",0,0
"Bombus","needs_id",FALSE,"Common Eastern Bumble Bee",0,0
"Bombus","needs_id",TRUE,"Pyrobombus",0,2
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Red-belted Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Two-spotted Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Xylocopa","research",TRUE,"Eastern Carpenter Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Ceratina","needs_id",TRUE,"Zadontomerus",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Xylocopa","research",TRUE,"Eastern Carpenter Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",1,4
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","needs_id",FALSE,"Red-belted Bumble Bee",0,0
"Bombus","research",TRUE,"Brown-belted Bumble Bee",0,2
"Bombus","research",TRUE,"Pyrobombus",0,1
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,1
"Bombus","research",TRUE,"Pyrobombus",0,1
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,1
"Bombus","research",TRUE,"bourdon terricole",0,2
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,1
"Bombus","research",TRUE,"Pyrobombus",0,1
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,1
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Half-black Bumble Bee",0,0
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",TRUE,"Brown-belted Bumble Bee",0,1
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,1
"Bombus","research",TRUE,"Brown-belted Bumble Bee",0,1
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",TRUE,"Brown-belted Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","research",TRUE,"Brown-belted Bumble Bee",0,1
"Bombus","research",TRUE,"Two-spotted Bumble Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,1
"Bombus","research",TRUE,"Two-spotted Bumble Bee",0,1
"Bombus","research",TRUE,"Red-belted Bumble Bee",0,1
"Bombus","research",TRUE,"Two-spotted Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Two-spotted Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Fernald's Cuckoo Bumble Bee",0,1
"Bombus","research",TRUE,"Pyrobombus",0,2
"Bombus","research",TRUE,"Pyrobombus",0,1
"Bombus","research",FALSE,"Pyrobombus",0,0
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","research",TRUE,"Bumble Bees",0,1
"Bombus","research",TRUE,"Bombus ternarius",0,1
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Half-black Bumble Bee",0,1
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,1
"Bombus","research",FALSE,"Two-spotted Bumble Bee",0,0
"Bombus","research",TRUE,"Brown-belted Bumble Bee",0,1
"Bombus","research",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,1
"Bombus","research",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,1
"Apis","research",FALSE,"Western Honey Bee",0,0
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",FALSE,"Northern Amber Bumble Bee",0,0
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","needs_id",FALSE,"Perplexing Bumble Bee",0,0
"Apis","research",FALSE,"Western Honey Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,3
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,1
"Nomada","research",TRUE,"Nomad Bees",0,3
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,3
"Bombus","research",TRUE,"Bombus ternarius",0,1
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,1
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",FALSE,"Two-spotted Bumble Bee",0,0
"Bombus","research",TRUE,"Red-belted Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Bombus","research",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Red-belted Bumble Bee",0,0
"Bombus","research",TRUE,"Fernald's Cuckoo Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Pyrobombus",0,2
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Nomada","research",TRUE,"Nomad Bees",0,1
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,2
"Bombus","research",TRUE,"Fernald's Cuckoo Bumble Bee",0,1
"Bombus","research",FALSE,"Two-spotted Bumble Bee",0,0
"Bombus","research",TRUE,"Pyrobombus",0,1
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Bombus impatiens",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Red-belted Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,1
"Nomada","needs_id",TRUE,"Nomad Bees",0,2
"Bombus","research",TRUE,"Red-belted Bumble Bee",0,1
"Bombus","research",TRUE,"Red-belted Bumble Bee",0,1
"Melissodes","needs_id",TRUE,"Melissodes",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","research",TRUE,"Bombus ternarius",0,1
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Bombus","research",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Fernald's Cuckoo Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Fernald's Cuckoo Bumble Bee",0,1
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,2
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Frigid Bumble Bee",0,1
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Two-spotted Bumble Bee",0,0
"Bombus","research",FALSE,"Fernald's Cuckoo Bumble Bee",0,0
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,2
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,2
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",FALSE,"Brown-belted Bumble Bee",0,0
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,1
"Bombus","research",TRUE,"Two-spotted Bumble Bee",0,1
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,1
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,3
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,3
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,3
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Northern Amber Bumble Bee",0,0
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,1
"Bombus","research",FALSE,"Red-belted Bumble Bee",0,0
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,4
"Bombus","research",FALSE,"Fernald's Cuckoo Bumble Bee",0,0
"Bombus","research",TRUE,"Red-belted Bumble Bee",0,1
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,2
"Bombus","casual",FALSE,"Pyrobombus",0,0
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Brown-belted Bumble Bee",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Northern Amber Bumble Bee",0,0
"Bombus","research",FALSE,"Northern Amber Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Northern Amber Bumble Bee",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Northern Amber Bumble Bee",0,0
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Northern Amber Bumble Bee",0,0
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Melissodes","research",TRUE,"Thistle Long-horned Bee",0,1
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Fernald's Cuckoo Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,1
"Bombus","research",FALSE,"Half-black Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Perplexing Bumble Bee",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",FALSE,"Tricolored Bumble Bee",0,0
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",FALSE,"Common Eastern Bumble Bee",0,0
"Bombus","research",FALSE,"Common Eastern Bumble Bee",0,0
"Bombus","research",FALSE,"Common Eastern Bumble Bee",0,0
"Bombus","research",FALSE,"Common Eastern Bumble Bee",0,0
"Bombus","research",TRUE,"American Bumble Bee",0,1
"Triepeolus","needs_id",TRUE,"Triepeolus",0,1
"Xylocopa","research",TRUE,"Eastern Carpenter Bee",0,2
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","needs_id",TRUE,"Lemon Cuckoo Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,1
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Xylocopa","research",TRUE,"Eastern Carpenter Bee",0,1
"Ceratina","needs_id",TRUE,"Zadontomerus",0,1
"Bombus","research",TRUE,"Half-black Bumble Bee",0,1
"Bombus","research",TRUE,"Pyrobombus",0,2
"Bombus","research",TRUE,"Pyrobombus",0,2
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",FALSE,"Half-black Bumble Bee",0,0
"Bombus","research",TRUE,"Half-black Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",TRUE,"Black-tailed Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","casual",FALSE,"Common Eastern Bumble Bee",0,0
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Xylocopa","research",TRUE,"Eastern Carpenter Bee",0,1
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","research",TRUE,"Two-spotted Bumble Bee",0,1
"Ceratina","needs_id",TRUE,"Zadontomerus",0,2
"Bombus","research",TRUE,"Brown-belted Bumble Bee",0,2
"Bombus","research",TRUE,"Brown-belted Bumble Bee",0,1
"Apis","research",TRUE,"Honigbiene",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,4
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","research",TRUE,"Brown-belted Bumble Bee",0,2
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","needs_id",TRUE,"Perplexing Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Pyrobombus",0,2
"Bombus","needs_id",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",TRUE,"Red-belted Bumble Bee",0,1
"Bombus","research",TRUE,"Lemon Cuckoo Bumble Bee",0,2
"Bombus","research",TRUE,"Lemon Cuckoo Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,1
"Bombus","research",TRUE,"Half-black Bumble Bee",0,1
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,3
"Bombus","casual",FALSE,"Bombus impatiens",0,0
"Bombus","research",TRUE,"Yellow-banded Bumble Bee",0,2
"Bombus","research",TRUE,"Pyrobombus",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","casual",FALSE,"Bumble Bees",0,0
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,1
"Bombus","research",TRUE,"Golden Northern Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,3
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,3
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,3
"Bombus","research",TRUE,"Golden Northern Bumble Bee",0,2
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,2
"Bombus","research",TRUE,"Lemon Cuckoo Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Pyrobombus",0,2
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Bombus","research",TRUE,"Northern Amber Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,3
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,3
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Anthophora","research",TRUE,"Orange-tipped Wood-digger Bee",1,4
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Bombus","needs_id",FALSE,"Sanderson's Bumble Bee",0,0
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Ceratina","needs_id",TRUE,"Zadontomerus",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Pyrobombus",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","research",TRUE,"Tricolored Bumble Bee",1,4
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,3
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","research",TRUE,"Polar Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,1
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","research",TRUE,"Tricolored Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
"Bombus","research",TRUE,"Common Eastern Bumble Bee",0,2
